Policy,Benchmark,IPC,L1D_Miss_Rate,L2_Miss_Rate,L1D_Avg_Miss_Latency,L2_Avg_Miss_Latency,L2_Replacements,L2_Hits,L2_Misses,L2_Accesses,L2_Demand_Hits,L2_Demand_Misses,L2_Demand_Accesses,L2_Writebacks,L2_Tags_In_Use,L2_Avg_Occupancy,L2_Total_Refs,L2_Sampled_Refs,L2_Avg_Refs,L1D_Hits,L1D_Misses,L1D_Accesses,L1D_Replacements,Num_Cycles,Committed_Insts
brrip,deepsjeng,0.037799,0.125,1.0,85360.530247,82860.531383,14285712.0,,14285712.0,14285712.0,,14285712.0,14285712.0,14285711.0,32768.0,1.0,28636448.0,14318480.0,1.999964,99999977.0,14285714.0,114285691.0,14285712.0,0.0,
brrip,exchange2,1.852123,1e-06,0.007179,16532.258065,84311.827957,0.0,12861.0,93.0,12954.0,12861.0,93.0,12954.0,,5533.807365,0.168878,243882.0,5559.0,43.87156,23652888.0,31.0,23652919.0,21.0,0.0,
brrip,imagick,2.014823,0.002714,0.723375,56510.793756,75166.125559,30231.0,11543.0,30185.0,41728.0,11543.0,30185.0,41728.0,30161.0,32768.0,1.0,240036.0,62999.0,3.810156,16597614.0,45165.0,16642779.0,41342.0,0.0,
brrip,lbm,0.23711,0.080112,0.984971,104070.576224,103857.003814,6769758.0,103239.0,6766163.0,6869402.0,103239.0,6766163.0,6869402.0,6420988.0,32768.0,1.0,13803381.0,6802526.0,2.029155,79640449.0,6935841.0,86576290.0,6869270.0,0.0,
brrip,leela,2.277406,0.00013,0.051326,17846.715328,85735.955056,92.0,1645.0,89.0,1734.0,1645.0,89.0,1734.0,54.0,32768.0,1.0,124317.0,32860.0,3.783232,14723780.0,1918.0,14725698.0,1731.0,0.0,
brrip,mcf,1.423718,0.006457,0.304227,69596.674132,91993.851298,247047.0,601259.0,262901.0,864160.0,601259.0,262901.0,864160.0,228460.0,31716.120097,0.967899,1727295.0,279815.0,6.172989,62453677.0,405879.0,62859556.0,332756.0,140477302.0,
brrip,nab,1.159021,0.004375,0.052802,44734.313838,83466.658667,29388.0,523233.0,29168.0,552401.0,523233.0,29168.0,552401.0,29121.0,32768.0,1.0,5217333.0,62156.0,83.93933,15813056.0,69488.0,15882544.0,46915.0,0.0,
brrip,omnetpp,0.916819,0.040501,0.017683,15575.058146,87219.279996,22186.0,1228290.0,22111.0,1250401.0,1228290.0,22111.0,1250401.0,21774.0,32768.0,1.0,9932946.0,54954.0,180.750191,20500997.0,865369.0,21366366.0,532630.0,0.0,
brrip,perlbench,0.614445,0.031327,0.03151,21509.8881,86141.289001,65086.0,1981009.0,64453.0,2045462.0,1981009.0,64453.0,2045462.0,54760.0,32768.0,1.0,15396860.0,97854.0,157.345229,20500018.0,662968.0,21162986.0,468640.0,0.0,
brrip,xalancbmk,1.007357,0.133577,0.006404,13565.049318,85488.621765,11005.0,1690763.0,10898.0,1701661.0,1690763.0,10898.0,1701661.0,10473.0,32768.0,1.0,15404100.0,43773.0,351.908711,16431225.0,2533216.0,18964441.0,1164045.0,0.0,
brrip,xz,2.017831,0.014124,1.0,73287.079803,74337.775553,42961.0,,42959.0,42959.0,,42959.0,42959.0,220.0,32768.0,1.0,150967.0,75729.0,1.993516,14992265.0,214780.0,15207045.0,42957.0,0.0,
dsb,deepsjeng,0.038781,0.125,1.0,83015.94229,80515.943098,14285710.0,,14285712.0,14285712.0,,14285712.0,14285712.0,14285709.0,32768.0,1.0,28632935.0,14318478.0,1.999719,99999977.0,14285714.0,114285691.0,14285712.0,0.0,
dsb,exchange2,1.852123,1e-06,0.007179,16532.258065,84311.827957,0.0,12861.0,93.0,12954.0,12861.0,93.0,12954.0,,5531.807365,0.168817,243871.0,5557.0,43.88537,23652888.0,31.0,23652919.0,21.0,0.0,
dsb,imagick,2.013892,0.002714,0.723388,56640.016827,75362.324842,30227.0,11543.0,30187.0,41730.0,11543.0,30187.0,41730.0,30199.0,32768.0,1.0,239600.0,62995.0,3.803476,16597578.0,45166.0,16642744.0,41343.0,0.0,
dsb,lbm,0.242558,0.080111,0.984967,101596.129563,101319.438802,6766351.0,103269.0,6766163.0,6869432.0,103269.0,6766163.0,6869432.0,6421006.0,32768.0,1.0,13802135.0,6799119.0,2.029989,79639866.0,6935660.0,86575526.0,6869300.0,0.0,
dsb,leela,2.277815,0.00013,0.027105,16246.871741,87234.042553,50.0,1687.0,47.0,1734.0,1687.0,47.0,1734.0,50.0,32768.0,1.0,124112.0,32818.0,3.781827,14724828.0,1918.0,14726746.0,1731.0,0.0,
dsb,mcf,1.42925,0.006462,0.303054,68643.591941,90957.833764,229245.0,602284.0,261892.0,864176.0,602284.0,261892.0,864176.0,227458.0,31711.709909,0.967765,1727257.0,262013.0,6.592257,62447048.0,406137.0,62853185.0,332771.0,139933496.0,
dsb,nab,1.161893,0.004374,0.052781,43973.607692,81702.47282,29314.0,523254.0,29157.0,552411.0,523254.0,29157.0,552411.0,29217.0,32768.0,1.0,5216449.0,62082.0,84.025144,15813085.0,69471.0,15882556.0,46911.0,0.0,
dsb,omnetpp,0.919793,0.040512,0.017661,15468.527357,83313.733925,22160.0,1228340.0,22084.0,1250424.0,1228340.0,22084.0,1250424.0,22042.0,32768.0,1.0,9887888.0,54928.0,180.015438,20501547.0,865625.0,21367172.0,532764.0,0.0,
dsb,perlbench,0.616341,0.031343,0.031039,21256.962265,84536.164315,63691.0,1981956.0,63488.0,2045444.0,1981956.0,63488.0,2045444.0,54212.0,32768.0,1.0,15563083.0,96459.0,161.344022,20502606.0,663397.0,21166003.0,468748.0,0.0,
dsb,xalancbmk,1.007658,0.133555,0.006475,13570.38156,84338.447571,11102.0,1690261.0,11015.0,1701276.0,1690261.0,11015.0,1701276.0,10879.0,32768.0,1.0,15369789.0,43870.0,350.348507,16432568.0,2532943.0,18965511.0,1163996.0,0.0,
