l2_size,policy,benchmark,miss_rate,replacements,demand_hits,demand_misses,sim_insts,host_seconds
512kB,dsb,omnetpp,0.020485,26277,1234757,25823,300000002,201.13
512kB,dsb,mcf,0.199045,34616,138920,34523,300000004,136.63
512kB,dsb,xalancbmk,0.167693,0,1402415,282559,300000004,182.14
512kB,dsb,perlbench,0.203129,0,816341,208092,300000005,172.84
512kB,dsb,leela,0.660980,1514,775,1511,300000003,100.05
512kB,dsb,exchange2,0.004771,0,23362,112,300000002,144.65
512kB,dsb,deepsjeng,1,14285710,,14285711,650000002,1793.38
512kB,dsb,xz,1,42949,,42959,650000002,176.42
512kB,dsb,lbm,0.974724,4584858,118852,4583358,550000002,754.63
512kB,dsb,imagick,0.724819,30235,11458,30180,300000002,137.25
512kB,dsb,nab,0.053002,29532,522863,29264,300000005,151.28
512kB,lru,omnetpp,0.020437,25880,1234102,25748,300000002,196.59
512kB,lru,mcf,0.199045,34604,138920,34523,300000004,133.60
512kB,lru,xalancbmk,0.226951,392465,1305424,383245,300000004,186.72
512kB,lru,perlbench,0.061425,63131,956634,62607,300000005,163.72
512kB,lru,leela,0.660980,1514,775,1511,300000003,100.95
512kB,lru,exchange2,0.004771,0,23362,112,300000002,141.08
512kB,lru,deepsjeng,1,14285711,,14285711,650000002,1816.17
512kB,lru,xz,1,42961,,42959,650000002,175.37
512kB,lru,lbm,0.974736,4583754,118800,4583488,550000002,764.16
512kB,lru,imagick,0.724819,30236,11458,30180,300000002,136.95
512kB,lru,nab,0.053008,29535,522839,29266,300000005,150.33
512kB,brrip,omnetpp,0.026547,37486,1226456,33447,300000002,192.79
512kB,brrip,mcf,0.199315,56095,138874,34570,300000004,131.13
512kB,brrip,xalancbmk,0.132579,234329,1464402,223824,300000004,176.58
512kB,brrip,perlbench,0.064491,80387,953954,65763,300000005,165.75
512kB,brrip,leela,0.628171,2674,850,1436,300000003,100.62
512kB,brrip,exchange2,0.004771,1,23362,112,300000002,142.16
512kB,brrip,deepsjeng,1,28142293,,14285711,650000002,1799.10
512kB,brrip,xz,0.985102,42321,640,42319,650000002,175.03
512kB,brrip,lbm,0.974502,8184358,119856,4580673,550000002,756.51
512kB,brrip,imagick,0.724812,49194,11458,30179,300000002,135.43
512kB,brrip,nab,0.053111,34198,522840,29326,300000005,148.29
1MB,dsb,omnetpp,0.017868,22576,1236105,22489,300000002,193.60
1MB,dsb,mcf,0.192915,33522,139980,33459,300000004,133.88
1MB,dsb,xalancbmk,0.027201,16223,1641038,45886,300000004,172.22
1MB,dsb,perlbench,0.175344,0,844165,179492,300000005,170.47
1MB,dsb,leela,0.660980,1514,775,1511,300000003,101.26
1MB,dsb,exchange2,0.004771,0,23362,112,300000002,141.94
1MB,dsb,deepsjeng,1,14285711,,14285711,650000002,1795.26
1MB,dsb,xz,1,42944,,42959,650000002,173.07
1MB,dsb,lbm,0.974525,4582768,119794,4582600,550000002,769.36
1MB,dsb,imagick,0.724819,30218,11458,30180,300000002,136.08
1MB,dsb,nab,0.052773,29295,523034,29140,300000005,148.34
1MB,lru,omnetpp,0.017871,22564,1235374,22479,300000002,194.06
1MB,lru,mcf,0.192909,33517,139981,33458,300000004,132.94
1MB,lru,xalancbmk,0.021309,36163,1648958,35903,300000004,170.29
1MB,lru,perlbench,0.050351,51315,966970,51269,300000005,166.07
1MB,lru,leela,0.660980,1514,775,1511,300000003,102.93
1MB,lru,exchange2,0.004771,0,23362,112,300000002,145.06
1MB,lru,deepsjeng,1,14285711,,14285711,650000002,1778.58
1MB,lru,xz,1,42961,,42959,650000002,174.30
1MB,lru,lbm,0.974526,4583009,119795,4582753,550000002,758.10
1MB,lru,imagick,0.724812,30216,11458,30179,300000002,134.23
1MB,lru,nab,0.052778,29296,522983,29140,300000005,156.51
1MB,brrip,omnetpp,0.018035,22907,1235014,22683,300000002,204.45
1MB,brrip,mcf,0.192802,43331,140002,33440,300000004,141.47
1MB,brrip,xalancbmk,0.014298,24797,1660326,24084,300000004,179.69
1MB,brrip,perlbench,0.050053,53092,967071,50955,300000005,176.97
1MB,brrip,leela,0.502187,2113,1138,1148,300000003,105.75
1MB,brrip,exchange2,0.004771,0,23362,112,300000002,150.95
1MB,brrip,deepsjeng,1,14285711,,14285711,650000002,1840.75
1MB,brrip,xz,1,42961,,42959,650000002,178.14
1MB,brrip,lbm,0.974496,5983444,119915,4581876,550000002,800.99
1MB,brrip,imagick,0.724819,30231,11458,30180,300000002,144.23
1MB,brrip,nab,0.052875,29567,522954,29195,300000005,159.08
2MB,dsb,omnetpp,0.017832,22502,1235092,22424,300000002,193.87
2MB,dsb,mcf,0.182543,31701,141788,31662,300000004,131.67
2MB,dsb,xalancbmk,0.006252,10605,1673635,10530,300000004,167.52
2MB,dsb,perlbench,0.037545,38296,979434,38207,300000005,160.45
